id,time,destination,stops,train,rail
0,1,Maastricht,via Weert - Roermond - Sittard,Intercity,1
1,2,Schagen,via s’Hertogenbosch - Utrecht C - Amsterdam CS,Intercity,5
2,3,Deurne,via Helmond,Sprinter,3
3,5,s’Hertogenbosch,via Boxtel,Sprinter,6
4,9,Weert,,Sprinter,1
5,14,Breda,via Tilburg,Intercity,5
6,17,Schiphol Airport,via s’Hertogenbosch - Utrecht C - Bijlmer ArenA,Intercity,6
7,19,Venlo,via Helmond,Intercity,1b
8,21,Heerlen,via Weert - Roermond -  Sittard,Intercity,1a
9,21,Tilburg Universiteit,via Boxtel - Tilburg,Sprinter,4
10,31,Maastricht,via Weert - Roermond - Sittard,Intercity,1
11,32,Schagen,via s’Hertogenbosch - Utrecht C - Amsterdam CS,Intercity,5
12,33,Deurne,via Helmond,Sprinter,3
13,35,s’Hertogenbosch,via Boxtel,Sprinter,6
14,39,Weert,,Sprinter,1
15,44,Breda,via Tilburg,Intercity,5
16,47,Schiphol Airport,via s’Hertogenbosch - Utrecht C - Bijlmer ArenA,Intercity,6
17,49,Venlo,via Helmond,Intercity,1b
18,51,Heerlen,via Weert - Roermond -  Sittard,Intercity,1a
19,51,Tilburg Universiteit,via Boxtel - Tilburg,Sprinter,4
